Hello,Hello World!
Hi,Hello World!
Who are you,I am a Python powered ChatBot.
What is HIPAA,"Today is Monday, 8/10/2020"
Bye,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Bye'>Bye</a>
BYe,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=BYe'>BYe</a>
Hello,Hello World!
HI,Hello World!
Whats Up,Hello World!
Who are you,I am a Python powered ChatBot.
What time is it,The time is now 7:00 AM EST
Good,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Bye,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Bye'>Bye</a>
Hello,Hello World!
Hi,Hello World!
who are you,I am a ChatBot running on Python and a dash of artificial intelligence.
What is the Time now,"Today is Tuesday, 8/11/2020"
Ok Bye,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Ok Bye'>Ok Bye</a>
Hello,Hello World!
Hi,Hello World!
Who are you,I am a ChatBot.
What is the time now,"Today is Tuesday, 8/11/2020"
Time,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Time'>Time</a>
What is time,"Today is Tuesday, 8/11/2020"
What time is it,The time is now 10:17 AM EST
Bye,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Bye'>Bye</a>
Hello,Hello World!
Hi,Hello World!
Who are you,I am a ChatBot running on Python and a dash of artificial intelligence.
Good,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Hello,Hello World!
Hi,Hello World!
Who are you,I am a Python powered ChatBot.
Good,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Hello,Hello World!
Hi,Hello World!
Who are you,I am a ChatBot running on Python and a dash of artificial intelligence.
What time is it,The time is now 3:02 PM EST
Hello,Hello World!
Hi,Hello World!
Who are you,I am a Python powered ChatBot.
Hello,Hello
Hi,Hi
Who are you,Who are you
Hello,Hello World!
Hi,Hello World!
Who areyou,I am a ChatBot running on Python and a dash of artificial intelligence.
Good,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Hello,Hello World!
Hi,Hello World!
WHo are you,I am a Python powered ChatBot.
Good,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Hello,Hello World!
Hi,Hello World!
Who are you,I am a Python powered ChatBot.
Hello,Hello World!
Hi,Hello World!
What is HIPAA,"Today is Tuesday, 8/11/2020"
Hello,Hello World!
Hi,Hello World!
WHo are you,I am a Chatbot.
WHat is HIPAA,Health Insurance Portability and Accountability Act
Hello,Hello World!
HI,Hello World!
Who are you,I am a Chatbot.
What is HIPAA,Health Insurance Portability and Accountability Act
Thanks,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Thanks'>Thanks</a>
Hello,Hello World!
Hi,Hello World!
Who are oyoy,I am a ChatBot.
What is HIPAA,Health Insurance Portability and Accountability Act
Hello,Hello World!
Hi,Hello World!
WHo are you,I am a ChatBot.
what is HIPAA,Health Insurance Portability and Accountability Act
Hello,Hello World!
Hi,Hello World!
Hi,Hello World!
What is HIPAA,Health Insurance Portability and Accountability Act
What is ISMS,Health Insurance Portability and Accountability Act
Hello,Hello
Hi,Hi
what is HIPAA,what is HIPAA
Hello,Hello
Hi,Hi
What is HIPAA,What is HIPAA
Hello,Hello
Hi,Hi
HI,HI
Hello,Hello World!
Hi,Hello World!
Who are you,I am a Chatbot.
What is BCP?,Business Continuity Plan
Hello,Hello World!
Hi,Hello World!
What is BCP?,Business Continuity Plan
What is the portal to reset or renew password?,https://serviceportal.perficient.com/showLogin.cc
How many WFH is allowed per quarter,6 per quarter
what is CISO,Information Security Management System
who is CISO,Information Security Management System
Hello,Hello World!
Hi,Hello World!
Hi,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
what is CISO,Information Security Management System
who is CISO,Information Security Management System
Hello,Hello World!
Hi,Hello World!
What is HIPAA,Health Insurance Portability and Accountability Act
what is CISO,Information Security Management System
Hello,Hello
Hi,Hi
How are you,How are you
Hello,Hello World!
Hi,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
who is HIPAA,Health Insurance Portability and Accountability Act
what is CISo,Information Security Management System
Hello,Hello World!
Hi,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
who is HIPAA,Health Insurance Portability and Accountability Act
what is CISO,Information Security Management System
Hello,Hello World!
Hi,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
What is CISO?,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is CISO?'>What is CISO?</a>
What CISO stands for?,Chief Information Security Officer
Who is CISO?,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is CISO?'>Who is CISO?</a>
Who is CISO of Perficient India?,Prakash Chembai
Who declares an emergency,CISO
How Perficient document classified,"Highly Confidential, Internal, Public"
what is CIA,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what is CIA'>what is CIA</a>
What CIA stand for?,"Confidentiality, Integrity and Availability"
Antivirus software in Perficient,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Antivirus software in Perficient'>Antivirus software in Perficient</a>
What is SEPG,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is SEPG'>What is SEPG</a>
Hello,Hello World!
Hi,Hello World!
Hello,Hello World!
What is HIPAA,Health Insurance Portability and Accountability Act
Hello,Hello World!
HI,Hello World!
where do you log your absence request?,https://chennaiwfm.com/
Hello,Hello World!
Hi,Hello World!
What is CISO,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is CISO'>What is CISO</a>
What is CISO?,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is CISO?'>What is CISO?</a>
Hello,Hello World!
Hi,Hello World!
what is CISO,Chief Information Security Officer
What is CISO,Chief Information Security Officer
Who is CISO,Chief Information Security Officer
Hello,Hello World!
Hi,Hello World!
What is CISO,Chief Information Security Officer
Who is CISO,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is CISO'>Who is CISO</a>
what is CISO,Chief Information Security Officer
Hello,Hello World!
Hello,Hello World!
Hi,Hello World!
hat is HIPAA,Health Insurance Portability and Accountability Act
hat is CISO,Chief Information Security Officer
Hello,Hello World!
Hello,Hello World!
Hi,Hello World!
Hello,Hello World!
Hi,Hello World!
Hello,Hello World!
Hi,Hello World!
what is hipaa,Health Insurance Portability and Accountability Act
Hello,Hello World!
Hi,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
what is CISP,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what is CISP'>what is CISP</a>
what is CISO,Chief Information Security Officer
Hello,Hello World!
Hi,Hello World!
WhatsUp,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=WhatsUp'>WhatsUp</a>
Hello,Hello World!
Hi,Hello World!
What is HIPAA,Health Insurance Portability and Accountability Act
Hello,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
Hello,Hello World!
Hi,Hello World!
what is HIPAA,Health Insurance Portability and Accountability Act
what is CISO,Chief Information Security Officer
Who is CISO,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is CISO'>Who is CISO</a>
Who is CISO of Perficinet Chennai,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is CISO of Perficinet Chennai'>Who is CISO of Perficinet Chennai</a>
